,1,2,3,4,5,6,7,8,9,10
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
4,0.25,0.25,0.25,0.75,0.75,0.875,0.875,1.0,1.0,1.0
5,0.2,0.2,0.2,0.68,0.68,0.84,0.84,0.92,0.92,1.0
6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.9444444444444444
7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6326530612244898,0.6326530612244898,0.7959183673469388,0.7959183673469388,0.8775510204081632,0.8775510204081632,0.9183673469387755
8,0.125,0.125,0.125,0.625,0.625,0.78125,0.78125,0.875,0.875,0.90625
9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6049382716049383,0.6049382716049383,0.7777777777777778,0.7777777777777778,0.8518518518518519,0.8518518518518519,0.9012345679012346
10,0.1,0.1,0.1,0.6,0.6,0.76,0.76,0.84,0.84,0.9
11,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.5867768595041323,0.5867768595041323,0.7520661157024794,0.7520661157024794,0.8347107438016529,0.8347107438016529,0.8842975206611571
12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.5833333333333334,0.75,0.75,0.8333333333333334,0.8333333333333334,0.875
13,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.5739644970414202,0.5739644970414202,0.7396449704142012,0.7396449704142012,0.8224852071005917,0.8224852071005917,0.8698224852071006
